problem_id,problem_text,skill_name,choiceA,choiceB,choiceC,choiceD,answer,level
1,"执行如下代码片段后，num的值为：

```java
int num = 5;

num = (num % 2) == 0 ? num – 1 : num + 1;
```",运算符,1,4,5,6,D,0
3,使用Java语言编写的源程序保存时的文件扩展名是,文件扩展名,.class,.java,.cpp,.txt,B,0
4,设int a=-2，则表达式a>>>3的值为,运算符,0,3,8,-1,C,0
5,设有数组的定义int[] a = new int[3]，则下面对数组元素的引用错误的是,数组访问,a[0],a[a.length-1],a[3],int i=1； a[i],C,0
6,在类的定义中可以有两个同名函数，这种现象称为函数,方法,封装,继承,覆盖,重载,D,0
7,在类的定义中构造函数的作用是,构造函数,保护成员变量,读取类的成员变量,描述类的特征,初始化成员变量,D,0
8,下面关键字中，哪一个不是用于异常处理语句,异常处理,try,break,catch,finally,B,0
9,类与对象的关系是,类与对象,类是对象的抽象,对象是类的抽象,对象是类的子类,类是对象的具体实例,A,0
10,下面哪一个是Java中不合法的标识符,标识符,$persons,twoNum,_myVar,point,D,0
11,为AB类的一个无形式参数无返回值的方法method书写方法头，使得使用类名AB作为前缀就可以调用它，该方法头的形式为,静态方法,static void method( ),public void method( ),final void method( ),abstract void method( ),A,0
12,欲构造ArrayList类的一个实例，此类继承了List接口，下列哪个方法是正确的,接口与实现类,ArrayList myList=new Object( ),List myList=new ArrayList( ),ArrayList myList=new List( ),List myList=new List( ),C,0
13,Java源文件和编译后的文件扩展名分别为,文件扩展名,.class和 .java,.java和 .class,.class和 .class,.java和 .java,B,0
14,在Java Applet程序用户自定义的Applet子类中，一般需要重载父类的( )方法来完成一些画图操作,Applet,start( ),stop( ),init( ),paint( ),D,0
15,"对于一个Java源文件，import, class定义以及package正确的顺序是",java源文件,"package,import,class","class,import,package","import,package,class","package,class,import",A,0
16,下面哪个是非法的,数据类型,int I = 32,float f = 45.0,double d = 45.0,char c = ‘u’,D,0
17,Java语言使用的字符码集是,字符集,ASCII,BCD,DCB,Unicode,D,0
18,如果一个类的成员变量只能在所在类中使用，则该成员变量必须使用的修饰是,访问控制,public,protected,private,static,C,0
19,下面关于main方法说明正确的是,入口方法,public main(String args[ ]),public static void main(String args[ ]),private static void main(String args[ ]),void main(),B,0
20,哪个关键字可以对对象加互斥锁,多线程同步,transient,synchronized,serialize,static,B,0
21,关于抽象方法的说法正确的是,抽象类和抽象方法,可以有方法体,可以出现在非抽象类中,是没有方法体的方法,抽象类中的方法都是抽象方法,D,0
22,java.io包的File类是,文件操作,字符流类,字节流类,对象流类,非流类,D,0
23,Java application中的主类需包含main方法，以下哪项是main方法的正确形参？,入口方法,String args,String args[],Char arg,StringBuffer args[],B,0
24,"以下代码段执行后的输出结果为
```java
int x = -3;
int y = -10;
System.out.println(y % x);
```",取模运算,-1,2,1,3,A,0
25,以下关于继承的叙述正确的是,继承,在Java中类只允许单一继承,在Java中一个类只能实现一个接口,在Java中一个类不能同时继承一个类和实现一个接口,在Java中接口只允许单一继承,A,0
26,"若有定义：byte[] x = {11, 22, 33, -66}; 其中0≤k≤3，则对x数组元素错误的引用是",数组访问,x[5-3],x[k],x[k+5],x[0],C,0
27,paint()方法使用哪种类型的参数?,paint,Graphics,Graphics2D,String,Color,D,0
28,以下哪个不是Java的原始数据类型,数据类型,int,Boolean,float,char,B,0
29,在Java中，一个类可同时定义许多同名的方法，这些方法的形式参数的个数、类型或顺序各不相同，传回的值也可以不相同。这种面向对象程序特性称为,方法重载,隐藏,重写,重载,Java不支持此特性,C,0
30,以下有关构造方法的说法，正确的是：,构造方法,一个类的构造方法可以有多个,构造方法在类定义时被调用,构造方法只能由对象中的其它方法调用。,构造方法可以和类同名，也可以和类名不同,A,0
31,在浏览器中执行applet 程序，以下选项中的哪个方法将被最先执行,Applet,init(),start(),destroy(),stop(),B,0
32,"给出下面代码，关于该程序以下哪个说法是正确的？
```java
public class Person{
    static int arr[] = new int[5];
    public static void main(String a[]){
        System.out.println(arr[0]);
    }
}
```",类与对象,编译时将产生错误,编译时正确，运行时将产生错误,输出零,输出空,C,0
33,"有以下方法的定义，请选择该方法的返回类型
ReturnType method(byte x, double y){
    return (short)x/y2;
}",方法返回类型,byte,short,int,double,D,0
34,下列类定义中哪些是合法的抽象类的定义？,抽象类和抽象方法,abstract Animal{abstract void growl();},class abstract Animal{abstract void growl();},abstract class Animal{abstract void growl();},abstract class Animal{abstract void growl(){System.out.println('growl');};,C,0
35,"有以下程序片段，下列哪个选项不能插入到行1。
1.
2. public class Interesting{
3. //do sth
4. }",java源文件,import java.awt.*;,package mypackage;,class OtherClass{ },public class MyClass{ },D,0
36,"设有下面两个赋值语句：
a = Integer.parseInt('12');
b = Integer.valueOf('12').intValue();
下述说法正确的是",赋值语句,a是整数类型变量，b是整数类对象。,a是整数类对象，b是整数类型变量。,a和b都是整数类对象并且值相等。,a和b都是整数类型变量并且值相等。,A,0
37,在编写Java Applet程序时，需在程序的开头写上()语句。,Applet,import java.awt.*;,import java.applet.Applet;,import java.io.*;,import java.awt.Graphics;,B,0
38,下列哪一项不属于Swing的顶层容器？,Swing,JApplet,JTree,JDialog,JFrame,B,0
39,为了使包ch4在当前程序中可见，可以使用的语句是,包,import ch4.;,package ch4.;,ch4 import;,ch4 package;,A,0
40,请问所有的异常类皆继承哪一个类？,异常类,java.io.Exception,java.lang.Throwable,java.lang.Exception,java.lang.Error,B,0
41,进行Java基本的GUI设计需要用到的包是,GUI,java.io,java.sql,java.awt,java.rmi,C,0
42,当点击鼠标或者拖动鼠标时，触发的事件是下列的哪一个？,鼠标事件,KeyEvent,ActionEvent,ItemEvent,MouseEvent,D,0
43,如下哪个是Java中的标识符,标识符,fieldname,super,3number,#number,A,0
44,"设 x = 1 , y = 2 , z = 3，则表达式 y＋＝z－－/＋＋x 的值是：",运算符,3,3.5,4,5,A,0
45,"下面的代码段执行之后count的值是什么
```java
int count = 1;
for (int i = 1; i <= 5; i++) {
    count += i;
}
System.out.println(count);
```",循环语句,5,1,15,16,D,0
46,为AB类的一个无形式参数无返回值的方法method书写方法头，使得使用类名AB作为前缀就可以调用它，该方法头的形式为,方法头,static void method( ),public void method( ),final void method( ),abstract void method( ),A,0
47,"下列程序段执行后的结果是
```java
String s = new String('abcdefg');
for (int i=0; i<s.length(); i+=2){
    System.out.print(s.charAt(i));
}
```",字符串,aceg,ACEG,abcdefg,abcd,A,0
48,"下面程序段执行后b的值是
```java
Integer integ = new Integer(9);
boolean b = integ instanceof Object;
```",对象类型,9,TRUE,1,FALSE,B,0
